FechaConteo,TiendaID,NombreTienda,ProductoID,CodigoSKU,NombreProducto,StockSistema,StockFisico,Diferencia,TipoAjuste,Responsable,Observaciones
2024-01-31,1,RetailCO Bogotá Norte,1,SKU0001,Samsung Galaxy A54 128GB,25,23,-2,Ajuste Negativo,María González,Unidades no localizadas en bodega
2024-01-31,1,RetailCO Bogotá Norte,5,SKU0005,HP Laptop 14" Core i3,10,12,2,Ajuste Positivo,María González,Encontradas en recepción sin registrar
2024-01-31,2,RetailCO Bogotá Sur,21,SKU0021,Camiseta Básica Hombre M,150,148,-2,Ajuste Negativo,Carlos Martínez,Posible hurto
2024-01-31,3,RetailCO Medellín Centro,61,SKU0061,Tenis Nike Revolution 6,30,30,0,Sin Ajuste,Laura Vargas,Inventario correcto
2024-01-31,4,RetailCO Medellín Laureles,81,SKU0081,Crema Nivea Body 400ml,200,195,-5,Ajuste Negativo,Sergio García,Merma por vencimiento
2024-02-29,1,RetailCO Bogotá Norte,6,SKU0006,Apple iPhone 14 128GB,8,9,1,Ajuste Positivo,María González,Unidad devuelta sin procesar
2024-02-29,5,RetailCO Cali Norte,41,SKU0041,Avena Quaker 500g,300,298,-2,Ajuste Negativo,Ana López,Merma empaque roto
2024-02-29,6,RetailCO Barranquilla,91,SKU0091,Taladro Percutor 500W,15,15,0,Sin Ajuste,Diego Ramírez,Inventario correcto
2024-03-31,2,RetailCO Bogotá Sur,100,SKU0100,Concentrado Perro 15kg Purina,40,37,-3,Ajuste Negativo,Valentina Pérez,Merma por humedad en bodega
2024-03-31,7,RetailCO Cartagena,71,SKU0071,LEGO Classic 484 piezas,20,21,1,Ajuste Positivo,Andrés Gómez,Caja encontrada sin registrar
2024-04-30,8,RetailCO Bucaramanga,3,SKU0003,LG Monitor 24 Full HD,12,12,0,Sin Ajuste,Daniela Rojas,Inventario correcto
2024-04-30,9,RetailCO Pereira,56,SKU0056,Arroz Diana x5kg,500,492,-8,Ajuste Negativo,Felipe Morales,Merma y rotura empaque
2024-05-31,10,RetailCO Santa Marta,85,SKU0085,Perfume Hugo Boss 100ml,18,17,-1,Ajuste Negativo,Camila Suárez,Unidad dañada en exhibición
2024-05-31,3,RetailCO Medellín Centro,14,SKU0014,Mouse Inalámbrico Logitech,80,83,3,Ajuste Positivo,Julián Reyes,Hallados en bodega sin registrar
2024-06-30,1,RetailCO Bogotá Norte,20,SKU0020,Smart TV 43 4K,5,5,0,Sin Ajuste,María González,Inventario correcto
2024-06-30,4,RetailCO Medellín Laureles,36,SKU0036,Juego Ollas Antiadherente x5,25,23,-2,Ajuste Negativo,Paola Castillo,Daño en bodega durante inventario
2024-07-31,5,RetailCO Cali Norte,66,SKU0066,Balón Fútbol #5 Adidas,45,45,0,Sin Ajuste,Esteban Herrera,Inventario correcto
2024-07-31,6,RetailCO Barranquilla,77,SKU0077,Muñeca Barbie Fashionista,60,57,-3,Ajuste Negativo,Natalia Jiménez,Merma y empaque abierto
2024-08-31,7,RetailCO Cartagena,51,SKU0051,Tenis Nike Revolution 6,22,24,2,Ajuste Positivo,David Díaz,Encontrados en zona de cambios
2024-08-31,8,RetailCO Bucaramanga,88,SKU0088,Cuaderno Cuadriculado Norma 100h,300,295,-5,Ajuste Negativo,Alejandra Mora,Merma inicio año escolar
2024-09-30,9,RetailCO Pereira,12,SKU0012,Cargador Rápido 65W,90,91,1,Ajuste Positivo,Sebastián Vargas,Unidad en reparación devuelta
2024-09-30,2,RetailCO Bogotá Sur,95,SKU0095,Set Destornilladores x8,35,35,0,Sin Ajuste,Carlos Martínez,Inventario correcto
2024-10-31,10,RetailCO Santa Marta,103,SKU0103,Correa Retráctil 5m,28,26,-2,Ajuste Negativo,Karen Ochoa,Merma uso exhibición
2024-10-31,1,RetailCO Bogotá Norte,16,SKU0016,Disco Externo 1TB,30,32,2,Ajuste Positivo,María González,Unidades recibidas tarde
2024-11-30,3,RetailCO Medellín Centro,7,SKU0007,Apple AirPods 3ra Gen,40,39,-1,Ajuste Negativo,Laura Vargas,Unidad reportada como robada
2024-11-30,5,RetailCO Cali Norte,50,SKU0050,Mochila Deportiva 30L,55,55,0,Sin Ajuste,Ana López,Inventario correcto
2024-12-31,6,RetailCO Barranquilla,107,SKU0107,Shampoo Mascotas 500ml,80,78,-2,Ajuste Negativo,Diego Ramírez,Merma por caducidad
2024-12-31,4,RetailCO Medellín Laureles,25,SKU0025,Vestido Casual Mujer T.M,120,125,5,Ajuste Positivo,Sergio García,Tela encontrada sin procesar
2024-12-31,7,RetailCO Cartagena,43,SKU0043,Café Juan Valdez 500g,180,178,-2,Ajuste Negativo,Andrés Gómez,Merma humedad
2024-12-31,8,RetailCO Bucaramanga,1,SKU0001,Samsung Galaxy A54 128GB,18,18,0,Sin Ajuste,Daniela Rojas,Inventario correcto
